Player,Team,SO/BB,WHIP,IP,W,L,ERA
Grant Holmes,ATL,4.67,1.185,68.1,2.0,1.0,3.56
Roansy Contreras,PIT,2.0,1.653,16.1,1.0,0.0,4.41
Roansy Contreras,LAA,1.74,1.288,52.0,1.0,4.0,4.33
Beau Brieske,DET,2.3,1.256,67.2,4.0,5.0,3.59
Hayden Wesneski,CHC,3.19,1.138,67.2,3.0,6.0,3.86
Michael Kopech,CHW,2.46,1.351,43.2,2.0,8.0,4.74
Michael Kopech,LAD,2.9,0.792,24.0,4.0,0.0,1.13
Erik Miller*,SFG,2.29,1.307,67.1,4.0,5.0,3.88
Joey Wentz*,DET,2.22,1.572,55.1,0.0,2.0,5.37
Joey Wentz*,PIT,2.17,1.0,12.0,1.0,0.0,1.5
Tim Hill*,CHW,1.3,2.217,23.0,1.0,0.0,5.87
Tim Hill*,NYY,2.0,1.023,44.0,3.0,0.0,2.05
Jakob Junis,MIL,3.8,0.962,26.0,4.0,0.0,2.42
Jakob Junis,CIN,10.67,0.78,41.0,0.0,0.0,2.85
Fernando Cruz,CIN,3.11,1.335,66.2,3.0,8.0,4.86
Ryan Fernandez,STL,2.22,1.35,66.2,1.0,6.0,3.51
José Leclerc,TEX,2.78,1.32,66.2,6.0,5.0,4.32
Jesús Luzardo*,MIA,2.64,1.245,66.2,3.0,6.0,5.0
Trevor Williams,WSN,3.28,1.035,66.2,6.0,1.0,2.03
Shawn Armstrong,TBR,2.63,1.607,46.2,2.0,2.0,5.4
Shawn Armstrong,STL,6.0,1.026,12.2,1.0,0.0,2.84
Ryan Helsley,STL,3.43,1.101,66.1,7.0,4.0,2.04
Jeff Hoffman,PHI,5.56,0.965,66.1,3.0,3.0,2.17
Ryan Thompson,ARI,3.47,1.191,66.1,7.0,5.0,3.26
Alex Vesia*,LAD,2.64,0.995,66.1,5.0,4.0,1.76
Nate Pearson,TOR,3.0,1.55,40.0,0.0,1.0,5.63
Nate Pearson,CHC,5.75,0.987,26.1,2.0,1.0,2.73
Jacob Barnes,WSN,2.75,1.318,66.0,8.0,3.0,4.36
Tim Herrin*,CLE,2.72,0.975,65.2,5.0,1.0,1.92
Brent Suter*,CIN,4.17,1.142,65.2,1.0,0.0,3.15
Jack Kochanowicz,LAA,2.5,1.194,65.1,2.0,6.0,3.99
Trevor Richards,TOR,2.04,1.146,52.1,2.0,1.0,4.64
Trevor Richards,MIN,1.18,1.462,13.0,0.0,1.0,4.15
